GO ID,raw p-value
GO:0007010,7.34e-05
GO:0010557,8.02e-05
GO:2000112,2.24e-08
GO:0006357,3.24e-05
GO:0010556,5.87e-08
GO:0006355,1.41e-06
GO:0006996,6.79e-07
GO:1903506,3.37e-06
GO:2001141,3.37e-06
GO:0051252,5.03e-06
GO:0031326,1.62e-06
GO:0009889,1.89e-06
GO:0019219,3.11e-06
GO:0010468,3.7e-05
GO:0016043,3.64e-05
GO:0071840,1.32e-05
GO:0032101,6e-05
GO:0006629,2.02e-05
GO:0071363,7.9e-05
GO:0002685,6.09e-05
GO:0006959,8.48e-06
GO:0002688,3.48e-05
GO:0019730,7.51e-05
GO:0001906,7.51e-05
GO:0006643,3.9e-05
GO:0061844,9.1e-05
GO:1990266,7.49e-05
GO:0031640,7.88e-06
GO:0005856,1.95e-09
GO:0005694,0.000838
GO:0005654,7.81e-10
GO:0031981,1.84e-09
GO:0043232,5.99e-09
GO:0043228,4.12e-09
GO:0005829,1.76e-07
GO:0005634,4.13e-15
GO:0031974,4.84e-07
GO:0043233,4.84e-07
GO:0070013,6.7e-07
GO:0043229,1.82e-19
GO:0032991,1.43e-05
GO:0043231,1.1e-11
GO:0043226,6.88e-16
GO:0043227,1.3e-09
GO:0005622,1.59e-15
GO:0005737,0.000365
GO:0043231,5.06e-05
GO:0043229,7.12e-06
GO:0043226,7.56e-05
GO:0005622,0.00011
GO:0005576,0.000226
GO:0016021,6.59e-05
GO:0030312,8.27e-06
GO:0031012,8.27e-06
GO:0031224,4.82e-09
GO:0005576,1.11e-28
GO:0005615,1.78e-21
GO:0009986,3.81e-07
GO:0005604,0.000106
GO:0031225,1.98e-07
GO:0046658,0.000517
GO:0061702,2.85e-06
GO:0140110,1.51e-06
GO:0005524,1.12e-05
GO:0035639,6.26e-06
GO:0032559,6.54e-05
GO:0030554,4.72e-05
GO:0003677,3.85e-06
GO:0032555,3.17e-05
GO:0032553,2.29e-05
GO:0017076,2.29e-05
GO:0003676,9.71e-08
GO:0032553,0.000455
GO:0017076,0.000456
GO:0043168,5.51e-05
GO:0032555,0.000448
GO:0097367,0.000137
GO:1901363,2.09e-10
GO:0097159,1.36e-10
GO:0003677,0.000165
GO:1901363,4.1e-07
GO:0097159,4.47e-07
GO:0043167,1.12e-05
GO:0005488,3.57e-07
GO:0005488,0.000608
GO:0098772,2.99e-05
GO:0008233,0.000481
GO:0005509,3.21e-06
GO:0005102,4.18e-09
GO:0030414,0.000449
GO:0017171,3.36e-05
GO:0008083,1.31e-05
GO:0004252,7.74e-05
GO:0008236,2.71e-05
GO:0030545,9.65e-14
GO:0030546,1.43e-13
GO:0048018,1.01e-13
GO:0005125,1.05e-07
GO:0033612,0.000201
GO:0042379,0.000201
GO:0070696,9.86e-05
GO:0008009,1.44e-05
